    lambda     Gl Lmt 
    0.0734     0.0597 
    0.0773     0.0626 
    0.0812     0.0656 
    0.0852     0.0686 
    0.0891     0.0715 
    0.0931     0.0745 
    0.0972     0.0774 
    0.1012     0.0804 
    0.1053     0.0834 
    0.1095     0.0863 
    0.1136     0.0893 
    0.1178     0.0922 
    0.1220     0.0952 
    0.1262     0.0982 
    0.1305     0.1011 
    0.1348     0.1041 
    0.1391     0.1070 
    0.1435     0.1100 
    0.1479     0.1129 
    0.1523     0.1159 
    0.1568     0.1189 
    0.1613     0.1218 
    0.1659     0.1248 
    0.1704     0.1277 
    0.1750     0.1307 
    0.1797     0.1336 
    0.1844     0.1366 
    0.1891     0.1396 
    0.1939     0.1425 
    0.1987     0.1455 
    0.2035     0.1484 
    0.2084     0.1514 
    0.2134     0.1544 
    0.2184     0.1573 
    0.2234     0.1603 
    0.2285     0.1632 
    0.2336     0.1662 
    0.2387     0.1692 
    0.2440     0.1721 
    0.2492     0.1751 
    0.2546     0.1781 
    0.2599     0.1811 
    0.2654     0.1840 
    0.2708     0.1870 
    0.2764     0.1900 
    0.2820     0.1930 
    0.2876     0.1960 
    0.2934     0.1989 
    0.2991     0.2019 
    0.3050     0.2049 
    0.3109     0.2079 
    0.3169     0.2109 
    0.3229     0.2139 
    0.3290     0.2169 
    0.3352     0.2199 
    0.3415     0.2229 
    0.3478     0.2259 
    0.3542     0.2290 
    0.3607     0.2320 
    0.3673     0.2350 
    0.3739     0.2380 
    0.3807     0.2411 
    0.3875     0.2441 
    0.3944     0.2471 
    0.4014     0.2502 
    0.4085     0.2532 
    0.4158     0.2563 
    0.4231     0.2594 
    0.4305     0.2624 
    0.4380     0.2655 
    0.4457     0.2686 
    0.4534     0.2717 
    0.4613     0.2748 
    0.4693     0.2779 
    0.4774     0.2810 
    0.4857     0.2841 
    0.4941     0.2872 
    0.5026     0.2904 
    0.5113     0.2935 
    0.5202     0.2966 
    0.5292     0.2998 
    0.5383     0.3030 
    0.5476     0.3061 
    0.5571     0.3093 
    0.5668     0.3125 
    0.5767     0.3157 
    0.5867     0.3190 
    0.5970     0.3222 
    0.6075     0.3254 
    0.6182     0.3287 
    0.6291     0.3319 
    0.6402     0.3352 
    0.6517     0.3385 
    0.6633     0.3418 
    0.6753     0.3451 
    0.6875     0.3485 
    0.7001     0.3518 
    0.7129     0.3552 
    0.7261     0.3586 
    0.7396     0.3619 
    0.7535     0.3654 
    0.7678     0.3688 
    0.7825     0.3723 
    0.7976     0.3757 
    0.8131     0.3792 
    0.8292     0.3827 
    0.8457     0.3863 
    0.8628     0.3899 
    0.8804     0.3934 
    0.8987     0.3971 
    0.9176     0.4007 
    0.9372     0.4044 
    0.9575     0.4081 
    0.9786     0.4118 
    1.0006     0.4156 
    1.0235     0.4194 
    1.0473     0.4232 
    1.0723     0.4271 
    1.0984     0.4310 
    1.1257     0.4350 
    1.1545     0.4390 
    1.1847     0.4430 
    1.2166     0.4471 
    1.2503     0.4513 
    1.2861     0.4555 
    1.3241     0.4598 
    1.3646     0.4641 
    1.4079     0.4685 
    1.4544     0.4730 
    1.5045     0.4776 
    1.5588     0.4822 
    1.6179     0.4869 
    1.6826     0.4918 
    1.7539     0.4967 
    1.8331     0.5018 
    1.9217     0.5070 
    2.0220     0.5123 
    2.1368     0.5178 
    2.2703     0.5235 
    2.4282     0.5294 
    2.6193     0.5356 
    2.8577     0.5421 
    3.1674     0.5489 
    3.5941     0.5562 
    4.2387     0.5641 
    5.3922     0.5728 
    8.5743     0.5831 
