alpha (deg)         Cl             Cd   
     -8.77     -0.847         0.24846   
     -7.83     -0.734         0.16230   
     -6.89     -0.603         0.10769   
     -5.87     -0.458         0.09516   
     -4.94     -0.320         0.08931   
     -4.00     -0.195         0.08729   
     -3.15     -0.069         0.08528   
     -2.13      0.069         0.08232   
     -1.19      0.201         0.08222   
     -0.07      0.333         0.08307   
      0.68      0.458         0.08393   
      1.62      0.584         0.08288   
      2.65      0.709         0.08852   
      3.68      0.835         0.09130   
      4.62      0.954         0.09312   
      5.65      1.073         0.09685   
      6.50      1.192         0.09964   
      7.72      1.299         0.10721   
      8.41      1.362         0.12820   
      9.04      1.374         0.14636   
      9.58      1.368         0.19896   
      9.94      1.356         0.29460   
     10.50      1.299        -9.99999
     10.97      1.255        -9.99999
     11.89      1.205        -9.99999
     12.89      1.167        -9.99999
     13.99      1.123        -9.99999
     14.98      1.123        -9.99999
     15.79      1.117        -9.99999
     16.86      1.142        -9.99999
     17.84      1.149        -9.99999
     18.83      1.142        -9.99999
