USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
725645 24022 201501010053 170   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   -9  -16 1037.3 30.08  777.9 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010153 200   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -15  -21 1038.7 30.07  777.7 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010253 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -12  -17 1038.4 30.06  777.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010353 290   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -15  -19 1037.4 30.06  777.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010453 240   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -16  -19 1035.2 30.05  777.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010553 230   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -15  -19 1034.2 30.04  776.9  -8 -18  0.00 ***** ***** ***** **
725645 24022 201501010653 220   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -16  -21 1033.1 30.01  776.0   0 -34  0.00 ***** ***** ***** **
725645 24022 201501010659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******   0 -34 ***** *****  0.00 ***** **
725645 24022 201501010753 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -16  -21 1030.7 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010853 220   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -15  -21 1030.4 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501010953 200   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -17  -22 1031.3 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011053 210   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -20  -24 1031.5 29.98  775.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011153 240   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -20  -26 1031.6 29.96  774.7 -12 -22  0.00 ***** ***** ***** **
725645 24022 201501011253 170   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -20  -24 1030.8 29.95  774.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011353 260   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -18  -23 1031.2 29.94  774.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011453 250   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -19  -23 1032.1 29.97  775.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011553 170   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *  -16  -20 1032.8 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011653 200   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   -9  -15 1032.0 30.00  775.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011753 200   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   -1   -8 1029.9 29.99  775.5  -1 -22  0.00 ***** ***** ***** **
725645 24022 201501011853 210   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   -1   -8 1028.7 29.95  774.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501011953 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *    8   -2 1026.3 29.93  773.9 *** ***  0.00 ***** ***** ***** **
725645 24022 201501012053 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *    9   -2 1025.5 29.92  773.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201501012153 250   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *    5   -4 1027.1 29.93  773.9 *** ***  0.00 ***** ***** ***** **
725645 24022 201501012251 ***   0 ***  26 *** * * * 10.0 ** ** ** ** ** ** ** ** *    7   -4 ****** 29.95  774.4 *** *** ***** ***** ***** ***** **
725645 24022 201501012253 ***   0 ***  26 *** * * * 10.0 ** ** ** ** ** ** ** ** *    6   -4 1028.3 29.96  774.7 *** ***  0.00 ***** ***** ***** **
725645 24022 201501012351 230   3 ***  30 *** * * * 10.0 ** ** ** ** ** ** ** ** *    9    0 ****** 29.95  774.4 *** *** ***** ***** ***** ***** **
725645 24022 201501012353 230   3 ***  30 *** * * * 10.0 ** ** ** ** ** ** ** ** *    9   -1 1027.5 29.95  774.4  10  -5  0.00 ***** ***** ***** **
725645 24022 201501020053 ***   0 ***  23 *** * * * 10.0 ** ** ** ** ** ** ** ** *   10    3 1028.2 29.97  775.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501020153 170   3 ***  25 *** * * * 10.0 ** ** ** ** ** ** ** ** *   10    1 1028.2 29.98  775.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201501020253 ***   0 ***  45 *** * * * 10.0 ** ** ** ** ** ** ** ** *   11    3 1028.3 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501020353 ***   0 ***  26 *** * * * 10.0 ** ** ** ** ** ** ** ** *   12    4 1027.7 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501020453 200   7 ***  49 *** * * *  9.1 ** ** ** ** 71 ** ** ** *   13    6 1026.2 29.99  775.5 *** ***  0.00T***** ***** ***** **
725645 24022 201501020553 150   3 ***  24 *** * * *  2.5 ** ** ** ** 71 ** ** ** *   13    8 1024.8 29.99  775.5  13  10  0.00T 0.00T***** ***** **
725645 24022 201501020653 060   5 ***  44 *** * * *  3.0 ** ** ** ** 71 10 ** ** *   13    9 1025.0 30.00  775.8  13 -22  0.00T***** ***** ***** **
725645 24022 201501020659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  13 -22 ***** *****  0.00T***** **
725645 24022 201501020753 110   3 ***  38 *** * * *  4.0 ** ** ** ** 71 10 ** ** *   14   11 1022.8 29.99  775.5 *** ***  0.00T***** ***** ***** **
725645 24022 201501020851 270   5 ***  40 *** * * *  2.5 ** ** ** ** 71 10 ** ** *   12   10 ****** 29.99  775.5 *** *** ***** ***** ***** ***** **
725645 24022 201501020853 260   3 ***  40 *** * * *  2.5 ** ** ** ** 71 10 ** ** *   13   11 1022.9 29.99  775.5 *** ***  0.00T***** *****  0.00T**
725645 24022 201501020953 250   7 ***  60 *** * * *  6.0 ** ** ** ** 71 10 ** ** *   13   10 1023.4 29.99  775.5 *** ***  0.00T***** ***** ***** **
725645 24022 201501021053 250   6 ***  55 *** * * *  9.1 ** ** ** ** ** ** ** ** *   12   10 1023.2 29.98  775.2 *** ***  0.00T***** ***** ***** **
725645 24022 201501021153 250   3 ***  46 *** * * * 10.0 ** ** ** ** ** ** ** ** *   13   10 1021.9 29.96  774.7  15  11  0.00T 0.00T***** ***** **
725645 24022 201501021253 140   5 ***  38 *** * * * 10.0 ** ** ** ** ** ** ** ** *   12   10 1021.6 29.95  774.4 *** ***  0.00T***** ***** ***** **
725645 24022 201501021353 150   5 ***  55 *** * * * 10.0 ** ** ** ** ** ** ** ** *   12   10 1021.6 29.96  774.7 *** ***  0.00 ***** ***** ***** **
725645 24022 201501021453 140   5 ***  50 *** * * * 10.0 ** ** ** ** ** ** ** ** *   15   13 1021.0 29.96  774.7 *** ***  0.00 ***** *****  0.00T**
725645 24022 201501021553 260   5 ***  50 *** * * * 10.0 ** ** ** ** ** ** ** ** *   14   11 1021.5 29.97  775.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501021653 170   3 ***  50 *** * * * 10.0 ** ** ** ** ** ** ** ** *   18   14 1020.2 29.97  775.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501021753 150   6 ***  50 *** * * * 10.0 ** ** ** ** ** ** ** ** *   20   15 1018.7 29.93  773.9  20  11  0.00  0.00T***** ***** **
725645 24022 201501021853 170   5 ***  48 *** * * * 10.0 ** ** ** ** ** ** ** ** *   23   17 1017.1 29.90  773.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501021953 250   7 ***  47 *** * * * 10.0 ** ** ** ** ** ** ** ** *   25   17 1015.2 29.86  772.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501022053 230  18 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   16 1014.5 29.84  771.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501022153 220  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   16 1014.4 29.83  771.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501022253 230  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   22   14 1015.2 29.84  771.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501022353 200  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   17   10 1015.3 29.82  770.9  26  17  0.00 ***** ***** ***** **
725645 24022 201501030053 220  18 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   21   12 1014.2 29.81  770.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030153 220  16 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   11 1014.4 29.80  770.3 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030253 220  15 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20   11 1013.9 29.81  770.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030353 240  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   10 1013.9 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030453 260  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   11 1012.6 29.78  769.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030553 090   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   11    7 1013.8 29.79  770.1  22  10  0.00 ***** ***** ***** **
725645 24022 201501030653 180   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   15    9 1012.9 29.79  770.1  26   9  0.00 ***** ***** ***** **
725645 24022 201501030659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  26 *** ***** *****  0.00T***** **
725645 24022 201501030753 260  13  17 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   11 1011.8 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030853 230   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   11 1011.2 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501030953 250   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   17   10 1012.1 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031053 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *    6    4 1014.5 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031153 310   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   12    8 1013.4 29.76  769.2  22   6  0.00 ***** ***** ***** **
725645 24022 201501031253 340   9 ***  95 *** * * * 10.0 ** ** ** ** ** ** ** ** *    7    3 1013.8 29.77  769.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031353 340   3 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** *    8    5 1013.4 29.76  769.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031453 300   7 ***  75 *** * * * 10.0 ** ** ** ** ** ** ** ** *   10    6 1013.6 29.77  769.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031553 350   5 ***  65 *** * * * 10.0 ** ** ** ** ** ** ** ** *   13    9 1014.0 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031653 010   6 ***  42 *** * * * 10.0 ** ** ** ** ** ** ** ** *   17   11 1013.8 29.81  770.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201501031753 030   7 ***  44 *** * * * 10.0 ** ** ** ** ** ** ** ** *   21   15 1014.6 29.81  770.6  21   7  0.00 ***** ***** ***** **
725645 24022 201501031853 040  13 ***  27 *** * * *  3.0 ** ** ** ** 71 ** ** ** *   22   17 1014.3 29.83  771.1 *** ***  0.00T***** ***** ***** **
725645 24022 201501031856 010  23  32  27 *** * * *  1.3 ** ** ** ** 71 ** ** ** *   21   16 ****** 29.84  771.4 *** ***  0.00T***** ***** ***** **
725645 24022 201501031859 360  24  32  27 *** * * *  0.5 ** ** ** ** 72 ** ** ** *   18   13 ****** 29.84  771.4 *** ***  0.00T***** ***** ***** **
725645 24022 201501031953 340  18  25  16 *** * * *  1.3 ** ** ** ** 71 10 ** ** *   14   10 1015.4 29.84  771.4 *** ***  0.00T***** ***** ***** **
725645 24022 201501032053 330  22 ***  26 *** * * *  0.5 ** ** ** ** 71 35 ** ** *   13    9 1017.1 29.88  772.5 *** ***  0.00T***** *****  0.00T**
725645 24022 201501032153 340  17 ***  17 *** * * *  1.3 ** ** ** ** 71 10 ** ** *   11    7 1019.6 29.93  773.9 *** ***  0.00T***** ***** ***** **
725645 24022 201501032253 350  10  21  22 *** * * *  6.0 ** ** ** ** 71 10 ** ** *    9    5 1023.1 29.97  775.0 *** ***  0.00T***** ***** ***** **
725645 24022 201501032353 080  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *    5    1 1023.7 29.99  775.5  22   4  0.00T 0.00T***** ***** **
725645 24022 201501040053 300   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *    0   -2 1026.5 30.02  776.3 *** ***  0.00 ***** ***** ***** **
725645 24022 201501040153 ***   0 ***  80 *** * * * 10.0 ** ** ** ** ** ** ** ** *    2   -1 1026.8 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 201501040253 ***   0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *    1   -3 1027.1 30.05  777.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501040353 150   3 ***  45 *** * * * 10.0 ** ** ** ** ** ** ** ** *   -1   -4 1027.2 30.06  777.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201501040453 200   5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   -1   -5 1026.6 30.06  777.4 *** ***  0.00 ***** ***** ***** **
