 USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
725645 24022 201507010053 200  11 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   56 1013.7 30.21  781.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201507010153 350  10 *** 110 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   56 1014.9 30.29  783.7 *** ***  0.00T***** ***** ***** **
725645 24022 201507010253 150   8 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   54 1014.6 30.29  783.7 *** ***  0.01 ***** *****  0.01 **
725645 24022 201507010353 190  13 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1013.4 30.28  783.4 *** ***  0.00T***** ***** ***** **
725645 24022 201507010453 290   8 ***  90 *** * * * 10.0 ** ** ** ** 61 ** ** ** *   60   55 1013.4 30.30  783.9 *** ***  0.00T***** ***** ***** **
725645 24022 201507010553 090   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1013.1 30.29  783.7  67  59  0.01  0.02 ***** ***** **
725645 24022 201507010653 150   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   58   55 1011.7 30.25  782.6  86  48  0.00 ***** ***** ***** **
725645 24022 201507010659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  86 *** ***** *****  0.03 ***** **
725645 24022 201507010753 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   57   52 1012.5 30.26  782.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201507010853 140   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   53   51 1013.0 30.25  782.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201507010953 170   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   52   50 1014.6 30.27  783.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011053 ***   0 *** 110 *** * * * 10.0 ** ** ** ** ** ** ** ** *   52   50 1014.3 30.28  783.4 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011153 100   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   51   49 1016.6 30.29  783.7  60  50  0.00 *****  0.03 ***** **
725645 24022 201507011253 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   54   51 1016.4 30.30  783.9 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011353 160   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   61   53 1015.6 30.31  784.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011453 990   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   66   53 1015.5 30.31  784.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011553 280   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   71   49 1014.8 30.30  783.9 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011653 990   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   76   46 1014.0 30.29  783.7 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011753 050   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   79   50 1013.1 30.28  783.4  79  51  0.00 ***** ***** ***** **
725645 24022 201507011853 990   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   78   48 1013.3 30.27  783.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201507011953 200   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   79   44 1013.0 30.27  783.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201507012053 220  14 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   79   45 1013.3 30.26  782.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201507012153 210  14 *** 110 *** * * * 10.0 ** ** ** ** ** ** ** ** *   75   47 1013.8 30.26  782.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201507012253 180  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   72   50 1013.8 30.24  782.3 *** ***  0.00 ***** ***** ***** **
725645 24022 201507012353 180   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   75   49 1013.0 30.23  782.0  83  71  0.00 ***** ***** ***** **
725645 24022 201507020053 110  17  22 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   67   51 1014.5 30.25  782.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201507020151 130   9 ***  80 *** * * * 10.0 ** ** ** ** 61 ** ** ** *   61   55 ****** 30.29  783.7 *** *** ***** ***** ***** ***** **
725645 24022 201507020153 150   9 ***  90 *** * * * 10.0 ** ** ** ** 61 12 ** ** *   61   56 1015.6 30.29  783.7 *** ***  0.04 ***** ***** ***** **
725645 24022 201507020253 160   8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   59   55 1014.6 30.27  783.1 *** ***  0.00 ***** *****  0.04 **
725645 24022 201507020353 170   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   57   53 1014.1 30.26  782.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201507020453 160  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   56   52 1013.2 30.25  782.6 *** ***  0.00 ***** ***** ***** **
725645 24022 201507020553 170   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   55   52 1012.5 30.24  782.3  75  55  0.00  0.04 ***** ***** **
725645 24022 201507020653 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   53   51 1012.5 30.24  782.3  83  50  0.00 ***** ***** ***** **
725645 24022 201507020659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  83 *** ***** *****  0.04 ***** **
725645 24022 201507020753 110   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   51   49 1012.8 30.24  782.3 *** ***  0.00 ***** ***** ***** **
725645 24022 201507020853 050  13  23 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   53   51 1014.1 30.28  783.4 *** ***  0.00 ***** ***** ***** **
