alpha(deg),Cl,Cd
-8.25,-0.543,0.01071
-7.21,-0.440,0.00963
-6.17,-0.327,0.00880
-5.13,-0.219,0.00816
-4.09,-0.103,0.00708
-3.05,0.009,0.00631
-2.01,0.130,0.00586
-0.98,0.251,0.00586
-0.01,0.364,0.00586
1.03,0.484,0.00586
2.07,0.601,0.00599
3.11,0.718,0.00618
4.15,0.838,0.00650
5.12,0.951,0.00689
6.16,1.063,0.00733
6.72,1.119,0.00765
7.27,1.162,0.00829
7.76,1.205,0.00976
8.24,1.223,0.01142
8.73,1.240,0.01397
9.21,1.257,0.01748
9.49,1.262,0.02067
10.25,1.253,-9.99999
10.74,1.201,-9.99999
11.85,1.136,-9.99999
13.23,1.106,-9.99999
15.24,1.097,-9.99999
17.25,1.093,-9.99999
19.26,1.089,-9.99999
