  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
725645 24022 200501010000 200  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   18 1009.1 29.82 ******  44  36 ***** ***** ***** ***** **
725645 24022 200501010056 210  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   14 1009.1 29.82  770.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010156 210  25 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   16 1007.8 29.80  770.3 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010256 210  28  36 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   19 1007.7 29.78  769.8 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010356 210  15 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   21 1008.4 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010456 200   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   21 1006.8 29.79  770.1 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010556 110   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   20 1006.6 29.77  769.5  39  28  0.00 ***** ***** ***** **
725645 24022 200501010656 180   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   19 1006.7 29.75  769.0  44  24  0.00 ***** ***** ***** **
725645 24022 200501010659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  44 *** ***** *****  0.00 ***** **
725645 24022 200501010756 170   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24   18 1005.1 29.73  768.4 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010856 160  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   23   16 1005.4 29.73  768.4 *** ***  0.00 ***** ***** ***** **
725645 24022 200501010956 170  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24   15 1004.5 29.71  767.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501011056 230  23 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   20 1002.8 29.69  767.3 *** ***  0.00 ***** ***** ***** **
725645 24022 200501011156 240  29  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   19 1003.0 29.68  767.1  33  22  0.00 ***** ***** ***** **
725645 24022 200501011256 290  25  29 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   29   23 1005.6 29.73  768.4 *** ***  0.00 ***** ***** ***** **
725645 24022 200501011356 260  23  31 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   18 1006.2 29.74  768.7 *** ***  0.00T***** ***** ***** **
725645 24022 200501011456 250  30  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   15 1006.0 29.75  769.0 *** ***  0.00 ***** *****  0.00T**
725645 24022 200501011556 260  17 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   18 1009.2 29.81  770.6 *** ***  0.00 ***** ***** ***** **
725645 24022 200501011656 230  22 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   32   17 1010.1 29.85  771.7 *** ***  0.00 ***** ***** ***** **
725645 24022 200501011756 240  20  26 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   34   15 1011.2 29.87  772.2  34  26  0.00  0.00T***** ***** **
725645 24022 200501011856 250  21  30 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   33   15 1011.6 29.86  772.0 *** ***  0.00 ***** ***** ***** **
725645 24022 200501011956 250  21 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   33   14 1011.7 29.86  772.0 *** ***  0.00 ***** ***** ***** **
725645 24022 200501012056 270  18 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   33   14 1012.3 29.87  772.2 *** ***  0.00 ***** ***** ***** **
725645 24022 200501012156 270  22 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   12 1012.9 29.89  772.8 *** ***  0.00 ***** ***** ***** **
725645 24022 200501012256 290  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   16 1012.9 29.92  773.6 *** ***  0.00 ***** ***** ***** **
725645 24022 200501012356 270  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   12 1014.3 29.94  774.1  35  25  0.00 ***** ***** ***** **
725645 24022 200501020056 270   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20    8 1016.4 29.95  774.4 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020156 270  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24    9 1016.7 29.97  775.0 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020256 260  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   22    9 1017.4 29.98  775.2 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020356 230  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20    9 1017.6 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020456 210  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   12 1016.5 30.00  775.8 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020556 170   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   11 1017.7 30.01  776.0  26  19  0.00 ***** ***** ***** **
725645 24022 200501020656 210  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   22   11 1017.4 30.01  776.0  35  19  0.00 ***** ***** ***** **
725645 24022 200501020659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  35 *** ***** *****  0.00T***** **
725645 24022 200501020756 190  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   12 1017.9 30.00  775.8 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020856 160  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   14 1018.1 30.01  776.0 *** ***  0.00 ***** ***** ***** **
725645 24022 200501020956 160  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   16   13 1019.0 30.02  776.3 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021056 170   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20   11 1019.1 30.03  776.6 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021156 150   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   13 1020.5 30.03  776.6  26  16  0.00 ***** ***** ***** **
725645 24022 200501021256 190  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   11 1021.7 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021356 160   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   16   12 1021.5 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021456 110   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   17   10 1021.6 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021556 180  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   15 1020.7 30.05  777.1 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021656 210  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   17 1018.7 30.06  777.4 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021756 230  16 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   12 1018.5 30.04  776.9  36  14  0.00 ***** ***** ***** **
725645 24022 200501021856 200  16 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   39    8 1016.2 30.01  776.0 *** ***  0.00 ***** ***** ***** **
725645 24022 200501021956 160   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   12 1016.4 29.99  775.5 *** ***  0.00 ***** ***** ***** **
725645 24022 200501022056 160  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38    8 1015.9 29.98  775.2 *** ***  0.00 ***** ***** ***** **
725645 24022 200501022156 150   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38    7 1016.8 29.98  775.2 *** ***  0.00 ***** ***** ***** **
725645 24022 200501022256 180   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35    9 1017.1 30.00  775.8 *** ***  0.00 ***** ***** ***** **
725645 24022 200501022356 990   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   13 1018.3 30.01  776.0  39  29  0.00 ***** ***** ***** **
725645 24022 200501030056 240   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   23   14 1020.4 30.02  776.3 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030156 260   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   22   14 1021.4 30.03  776.6 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030256 230   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   21   14 1021.7 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030356 130   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   13 1020.5 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030456 210   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   18   12 1019.5 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030556 190   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   17   13 1018.9 30.04  776.9  33  17  0.00 ***** ***** ***** **
725645 24022 200501030656 220   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19   14 1018.2 30.04  776.9  39  14  0.00 ***** ***** ***** **
725645 24022 200501030659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  39 *** ***** *****  0.00 ***** **
725645 24022 200501030756 260   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   17   12 1018.3 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030856 180   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   16   10 1018.8 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501030956 200   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   15   10 1018.8 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031056 990   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   15    9 1018.8 30.02  776.3 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031156 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   16   10 1019.2 30.02  776.3  19  12  0.00 ***** ***** ***** **
725645 24022 200501031256 170   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   19    9 1020.8 30.03  776.6 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031356 150   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   16    7 1021.9 30.04  776.9 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031456 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   20    9 1021.3 30.05  777.1 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031556 990   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   23   14 1021.7 30.06  777.4 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031656 220  14 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   18 1020.0 30.07  777.7 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031756 230  10 ***  55 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   36   18 1019.9 30.07  777.7  37  14  0.00 ***** ***** ***** **
725645 24022 200501031856 180   8 ***  50 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   37   18 1018.1 30.03  776.6 *** ***  0.00 ***** ***** ***** **
725645 24022 200501031956 240  14 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   40   18 1016.9 30.01  776.0 *** ***  0.00 ***** ***** ***** **
725645 24022 200501032056 250  16  25  50 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   41   18 1016.7 30.00  775.8 *** ***  0.00 ***** ***** ***** **
